127.0.0.1 - - [12/Jan/2021:11:41:57 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:43:23 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:43:23 +0530] "GET /project_3/css/main.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:43:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:43:34 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:43:35 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 14141
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:43:35 +0530] "GET /project_3/css/main.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:43:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:45:57 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 14181
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:45:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:45:57 +0530] "GET /project_3/css/main.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:50:57 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 14362
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:50:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:50:57 +0530] "GET /project_3/css/main.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [12/Jan/2021:11:56:53 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 14362
